adv	really	3128	back	1438	well	1104	always	1015	also	832	actually	791	even	741	right	635	never	597	first	571	ever	526	still	504	maybe	435	pretty	433	together	413	better	393	probably	391	you're	391	forward	362	definitely	318	away	303	yeah	268	it's	265	far	257	almost	228	long	223	else	220	much	212	obviously	209	sometimes	203	quite	193	basically	184	fast	160	yet	152	exactly	144	ago	140	especially	139	already	138	faster	126	enough	120	lot	112	that's	109	bit	106	hopefully	103	around	102	completely	99	usually	96	soon	94	finally	93	yes	91	later	91	ahead	90	often	86	best	84	quickly	84	rather	80	simply	77	you've	75	slightly	75	hard	73	absolutely	72	longer	71	totally	71	okay	69	instead	64	there's	62	close	61	literally	58	anywhere	57	alone	55	anymore	53	forever	52	somewhere	48	generally	48	we're	48	you'll	48	don't	47	extremely	46	everywhere	46	fully	45	oh	45	constantly	44	necessarily	42	less	42	honestly	41	they're	40	art	40	directly	40	easily	40	ball	39	immediately	39	mentally	39	slowly	38	start	38	little	37	truly	36	however	35	straight	35	inside	35	certainly	35
noun	I'm	3589	it's	2680	time	1749	kind	1636	people	1602	way	1292	lot	1287	that's	1200	you're	1135	day	1053	gon	1043	thing	1036	things	1004	something	996	I've	989	yeah	941	we're	846	bit	756	shoes	686	life	682	game	671	work	648	years	641	shoe	637	man	622	year	599	foot	593	guys	592	get	589	team	572	don't	572	body	536	part	520	today	512	everything	495	race	478	world	473	name	435	look	433	feet	421	play	410	there's	400	ball	399	I'll	386	kids	385	music	377	anything	367	feel	360	line	342	he's	342	they're	336	see	326	place	326	talk	311	position	305	side	303	ground	300	point	299	help	297	everyone	297	run	296	school	296	times	286	we've	285	days	283	what's	281	fun	280	stuff	273	week	271	everybody	270	player	269	New	263	right	253	course	245	you've	245	try	243	person	242	family	241	night	236	home	236	guy	235	let's	234	moment	234	idea	233	step	232	job	230	start	228	power	220	sort	218	support	217	training	213	hand	212	use	212	experience	211	I'd	211	show	210	goal	210	okay	208	style	206	movement	205
pronoun	I	17107	us	1085	you're	49	yeah	46	hat	32	You	19	whoever	13	self	12	whose	12	okay	10	you've	9	we're	8	what's	8	oh	8	we've	7	you'll	6	wan	5	ya	4	who's	4	snapchat	3	yo	3	chat	3	yes	2	Your	2	mother	2	harmonizer	1	somewhat	1	wall	1	win	1	armour	1	walk	1	windy	1	weather	1	We	1	he's	1	father	1	hey	1	helps	1	shelf	1	watch	1	women's	1	hi	1	mom	1	who'd	1	we'll	1	wasn't	1	brother	1	Usher	1	Our	1	heel	1	you'd	1	mind	1	worn	1	marathon	1	shat	1	witta	1	Who	1	ymca	1	one's	1	themself	1	teacher	1	og	1	yacht	1	stairs	1	US	1	what-what	1	ho	1
verb	know	4289	going	2548	get	2387	go	2242	think	2154	got	2149	want	1744	running	1322	see	1266	make	1045	run	862	don't	858	it's	815	take	812	say	794	come	787	feel	722	put	654	love	576	need	544	keep	538	mean	537	like	536	getting	518	done	469	started	461	said	453	made	434	coming	431	look	425	looking	424	trying	407	try	392	wanted	364	we're	353	came	346	find	345	give	343	makes	316	went	308	play	307	that's	303	working	299	gon	299	tell	296	comes	281	hit	280	playing	274	called	272	making	271	used	267	remember	247	goes	244	set	236	start	233	can't	231	talking	231	training	228	thought	227	didn't	226	believe	226	let	220	yeah	216	you're	209	seen	207	excited	190	left	188	using	188	amazing	184	gets	180	gives	177	took	176	work	175	feeling	172	taking	172	moving	170	help	170	wearing	167	felt	163	saying	160	walk	157	means	154	bring	149	lot	143	told	142	saw	138	there's	136	takes	135	played	134	what's	134	show	130	found	130	seeing	130	they're	129	move	128	helps	127	walking	125	become	125	looks	122	starting	120
others	like	5838	one	2810	na	1378	would	977	every	875	two	830	could	750	three	566	around	548	five	319	four	309	another	280	six	245	might	220	whatever	208	since	201	behind	201	yeah	198	may	197	10	197	without	195	oh	191	back	169	20	168	though	164	whether	160	across	148	30	143	inside	127	seven	123	either	119	eight	114	15	106	that's	105	outside	101	12	99	within	96	we're	96	along	93	okay	85	100	82	50	82	you're	79	nine	79	past	74	3	74	ball	72	throughout	71	de	70	next	69	25	66	Under	62	plus	61	yes	57	1	57	18	57	14	56	away	56	40	56	million	55	11	55	onto	54	it's	54	ago	53	per	52	must	51	5	51	workout	50	2	50	13	49	love	47	beyond	46	they're	46	24	45	16	44	there's	43	45	43	90	41	17	41	need	38	2016	36	500	36	2014	35	60	35	what's	34	know	33	2013	33	thousand	33	hundred	32	4	32	zero	30	300	30	8	29	near	29	2015	29	19	29	9	28	pro	28	200	28	3d	27
adj	it's	1761	good	1668	little	1364	right	1038	great	1021	new	817	much	763	first	705	different	679	big	634	know	628	able	609	that's	600	best	539	nice	523	last	509	next	508	sure	487	many	469	hard	420	whole	385	important	384	high	367	top	347	ready	307	we're	306	favorite	296	real	286	old	281	you're	280	don't	278	better	275	there's	268	want	262	long	258	cool	256	second	244	happy	231	give	230	oh	229	young	223	bad	222	full	219	easy	217	strong	215	fit	203	okay	193	front	189	open	186	um	185	special	183	single	173	tough	173	upper	171	quick	170	come	169	natural	165	low	164	shoe	163	ta	158	what's	156	welcome	153	comfortable	151	beautiful	149	huge	149	live	148	perfect	141	light	140	they're	140	ball	139	let's	139	yeah	139	finish	138	crazy	134	biggest	131	foot	131	true	130	possible	129	super	129	key	129	small	126	black	123	awesome	119	soft	118	hot	117	short	117	extra	117	free	115	enough	114	certain	111	simple	110	wear	110	couple	107	athlete	106	wrong	105	amazing	104	lower	104	bigger	102	social	101	he's	101
